ID,Nombre,Marca,Precio,Caracteristicas
1,Alimento Para Perros,Pedigree,23.901600000000002,Sabor Delicioso~Nutrición Equilibrada~Contiene Vitaminas Y Minerales
2,Alimento Para Gatos,Purina One,18.3816,Alta Calidad~Proteínas De Primera~Promueve Un Pelaje Saludable
3,Juguete Para Perros,Kong,28.52,Duradero~Ideal Para Masticadores Agresivos
4,Arenero Para Gatos,Arm & Hammer,36.7816,Control De Olores~Fácil De Limpiar
5,Correa Para Perros,Flexi,45.9816,Extensible~Mango Ergonómico~Cinta Reflectante
6,Cama Para Perros,Aspen Pet,55.181599999999996,Material Suave~Lavable A Máquina~Cómoda Y Acogedora
7,Juguete Para Gatos,Frolicat,36.7816,Juguete Interactivo~Movimientos Impredecibles~Mantiene A Los Gatos Activos
8,Acuario,Tetra,73.58160000000001,10 Galones~Filtro Incorporado~Ideal Para Peces Tropicales
9,Alimento Para Perros,Pro Plan,34.04,Ingredientes Naturales~Alta Digestibilidad~Para Todas Las Etapas De Vida
10,Correa Para Perros,Halti,27.5816,Control De Tirones~Ajustable~Cómoda Para El Perro Y El Dueño
11,Alimento Para Gatos,Science Diet,31.261599999999994,Fórmula Equilibrada~Control De Peso~Promueve La Salud Urinaria
12,Cama Para Gatos,Petfusion,64.3816,Diseño Elegante~Material Duradero~Fácil De Limpiar
13,Juguete Para Perros,Nylabone,18.3816,Resistente A La Masticación~Ayuda A La Higiene Dental
14,Arenero Para Gatos,Purina Tidy Cats,23.901600000000002,Sistema Todo En Uno~Bandeja Removible~Fácil De Mantener
15,Alimento Para Perros,Blue Buffalo,40.4616,Ingredientes Naturales~Sin Granos~Para Razas Pequeñas
16,Transportadora Para Gatos,Sherpa,60.7016,Aprobada Por Aerolíneas~Cómoda Y Segura~Ventilación Adecuada
17,Juguete Para Gatos,Cat Dancer,11.0216,Juguete Interactivo~Atrae La Atención De Los Gatos~Horas De Diversión
18,Alimento Para Perros,Iams,26.68,Control De Peso~Proteínas De Calidad~Sabor Delicioso
19,Arenero Para Gatos,Litter Genie,36.7816,Fácil Eliminación De Desechos~Control De Olores~Práctico Y Conveniente
20,Correa Para Perros,Ruffwear,51.501599999999996,Resistente Al Agua~Ideal Para Actividades Al Aire Libre~Cómoda Para El Perro Y El Dueño
21,Cama Para Perros,Kuranda,128.7816,Elevada~Duradera~Fácil De Limpiar
22,Alimento Para Gatos,Wellness,41.4,Ingredientes Naturales~Alta Calidad~Promueve La Salud Digestiva~Sin Granos
23,Juguete Para Perros,Chuckit!,16.5416,Resistente~Ideal Para Juegos De Lanzamiento
24,Corral Para Mascotas,Midwest Homes For Pets,73.58160000000001,Plegable~Fácil De Transportar~Espacioso
25,Alimento Para Perros,Nutro,33.1016,Ingredientes De Calidad~Sin Conservantes Artificiales~Salud Digestiva
26,Rascador Para Gatos,Gopetclub,91.9816,Área De Juego Y Descanso~Poste Para Rascar~Incluye Juguetes Colgantes
27,Juguete Interactivo Para Perros,Kong Wobbler,27.5816,Dispensador De Alimentos~Mantiene A Los Perros Entretenidos
